,time,country,category,peak
190,2021-10-04T17:00:51Z,US,other,1
191,2021-10-04T07:00:00Z,US,cases,1
192,2021-10-03T07:00:00Z,US,cases,1
193,2021-10-02T07:00:00Z,US,cases,1
194,2021-10-01T07:00:00Z,US,cases,1
195,2021-09-30T18:02:06Z,US,live,0
196,2021-09-30T07:00:00Z,US,cases,1
197,2021-09-29T17:01:32Z,US,other,1
198,2021-09-29T07:00:00Z,US,cases,1
199,2021-09-28T07:00:00Z,US,cases,1
200,2021-09-27T17:06:19Z,US,president speech,1
201,2021-09-27T07:00:00Z,US,cases,1
202,2021-09-26T07:00:00Z,US,cases,1
203,2021-09-25T07:00:00Z,US,cases,1
204,2021-09-24T13:58:29Z,US,president speech,0
205,2021-09-24T07:00:00Z,US,cases,1
206,2021-09-23T07:00:00Z,US,cases,1
207,2021-09-22T17:01:58Z,US,other,1
208,2021-09-22T07:00:00Z,US,cases,1
209,2021-09-21T07:00:00Z,US,cases,1
210,2021-09-20T18:00:03Z,US,live,0
211,2021-09-20T17:00:59Z,US,other,1
212,2021-09-20T07:00:00Z,US,cases,1
213,2021-09-19T07:00:00Z,US,cases,1
214,2021-09-18T07:00:00Z,US,cases,1
215,2021-09-17T07:00:00Z,US,cases,1
216,2021-09-16T07:00:00Z,US,cases,1
217,2021-09-15T17:02:28Z,US,other,1
218,2021-09-15T07:00:00Z,US,cases,1
219,2021-09-14T14:17:11Z,US,live,0
220,2021-09-14T07:00:00Z,US,cases,1
221,2021-09-13T17:00:59Z,US,other,1
222,2021-09-13T16:21:34Z,US,live,0
223,2021-09-13T07:00:00Z,US,cases,1
224,2021-09-12T07:00:00Z,US,cases,1
225,2021-09-11T07:00:00Z,US,cases,1
226,2021-09-10T17:54:26Z,US,other,0
227,2021-09-10T17:17:18Z,US,live,1
228,2021-09-10T07:00:00Z,US,cases,1
229,2021-09-09T21:01:37Z,US,president speech,0
230,2021-09-09T07:00:00Z,US,cases,1
231,2021-09-08T18:01:50Z,US,live,0
232,2021-09-08T17:02:29Z,US,other,1
233,2021-09-08T07:00:00Z,US,cases,1
234,2021-09-07T07:00:00Z,US,cases,1
235,2021-09-06T07:00:00Z,US,cases,1
236,2021-09-05T07:00:00Z,US,cases,1
237,2021-09-04T07:00:00Z,US,cases,1
238,2021-09-03T07:00:00Z,US,cases,1
239,2021-09-02T16:06:22Z,US,live,0
240,2021-09-02T07:00:00Z,US,cases,1
241,2021-09-01T16:16:16Z,US,live,0
242,2021-09-01T07:00:00Z,US,cases,1
243,2021-08-30T17:00:00Z,US,other,1
244,2021-08-30T16:27:00Z,US,live,0
245,2021-08-26T14:45:00Z,US,live,0
246,2021-08-23T17:56:00Z,US,president speech,0
247,2021-08-23T17:03:00Z,US,other,1
248,2021-08-23T16:24:00Z,US,live,0
249,2021-08-18T20:31:00Z,US,president speech,0
250,2021-08-18T18:01:00Z,US,live,0
251,2021-08-18T11:00:00Z,US,live,0
252,2021-08-09T17:00:00Z,US,other,1
253,2021-08-09T16:21:00Z,US,live,0
254,2021-08-05T18:02:00Z,US,live,0
255,2021-08-05T13:00:00Z,US,live,0
256,2021-08-03T20:29:00Z,US,president speech,0
257,2021-08-02T17:01:00Z,US,other,1
258,2021-08-02T16:30:00Z,US,live,0
259,2021-08-02T13:33:00Z,US,live,0
260,2021-07-28T14:05:00Z,US,live,0
261,2021-07-26T17:39:00Z,US,live,0
262,2021-07-19T17:01:00Z,US,other,1
263,2021-07-19T16:18:00Z,US,live,0
264,2021-07-12T17:02:00Z,US,other,1
265,2021-07-12T16:05:00Z,US,live,0
266,2021-07-07T17:09:00Z,US,live,1
267,2021-07-07T17:02:00Z,US,other,1
268,2021-07-07T16:49:00Z,US,live,1
269,2021-07-07T14:03:00Z,US,live,0
270,2021-07-06T19:05:00Z,US,president speech,0
271,2021-06-30T17:25:00Z,US,other,1
272,2021-06-30T17:04:00Z,US,other,1
273,2021-06-30T16:35:00Z,US,live,1
274,2021-06-28T17:33:00Z,US,live,0
275,2021-06-23T18:00:00Z,US,other,0
276,2021-06-23T16:31:00Z,US,live,1
277,2021-06-23T15:33:00Z,US,live,1
278,2021-06-16T20:17:00Z,US,live,0
279,2021-06-16T17:00:00Z,US,other,1
280,2021-06-16T16:20:00Z,US,live,0
281,2021-06-15T16:00:00Z,US,live,1
282,2021-06-15T15:03:00Z,US,live,0
283,2021-06-15T11:13:00Z,US,live,0
284,2021-06-14T17:02:00Z,US,other,1
285,2021-06-14T16:11:00Z,US,live,0
286,2021-06-14T15:41:00Z,US,live,1
287,2021-06-10T17:45:00Z,US,president speech,0
288,2021-06-10T17:26:00Z,US,president speech,1
289,2021-06-07T17:02:00Z,US,other,1
290,2021-06-07T15:32:00Z,US,live,1
291,2021-06-02T19:05:00Z,US,live,0
292,2021-06-02T17:41:00Z,US,president speech,0
293,2021-06-02T17:03:00Z,US,other,1
294,2021-06-02T17:02:00Z,US,other,1
295,2021-06-02T16:07:00Z,US,live,0
296,2021-06-02T14:37:00Z,US,live,0
297,2021-05-28T17:48:00Z,US,live,0
298,2021-05-28T16:06:00Z,US,live,0
299,2021-05-28T15:52:00Z,US,president speech,1
300,2021-05-27T15:34:00Z,US,live,1
301,2021-05-27T15:33:00Z,US,live,1
302,2021-05-26T17:02:00Z,US,other,1
303,2021-05-26T16:29:00Z,US,live,0
304,2021-05-26T15:33:00Z,US,live,1
305,2021-05-26T15:00:00Z,US,live,0
306,2021-05-24T17:03:00Z,US,other,1
307,2021-05-24T16:48:00Z,US,live,1
308,2021-05-24T15:30:00Z,US,live,0
309,2021-05-14T21:00:00Z,US,live,0
310,2021-05-13T17:45:00Z,US,live,0
311,2021-05-13T15:35:00Z,US,live,1
312,2021-05-12T20:30:00Z,US,live,0
313,2021-05-12T20:11:00Z,US,president speech,0
314,2021-05-12T17:00:00Z,US,other,1
315,2021-05-12T16:39:00Z,US,live,1
316,2021-05-12T15:37:00Z,US,live,1
317,2021-05-12T15:11:00Z,US,live,0
318,2021-05-12T11:00:00Z,US,live,0
319,2021-05-11T17:12:00Z,US,president speech,1
320,2021-05-10T19:53:00Z,US,live,0
321,2021-05-10T17:02:00Z,US,other,1
322,2021-05-10T16:30:00Z,US,live,0
323,2021-05-10T15:36:00Z,US,live,1
324,2021-05-06T15:13:00Z,US,live,0
325,2021-05-05T17:01:00Z,US,other,1
326,2021-05-05T17:01:00Z,US,live,1
327,2021-05-05T16:31:00Z,US,live,1
328,2021-05-05T15:38:00Z,US,live,1
329,2021-05-04T18:43:00Z,US,live,0
330,2021-05-04T18:33:00Z,US,president speech,0
331,2021-05-03T15:33:00Z,US,live,1
332,2021-05-03T14:09:00Z,US,live,0
333,2021-04-29T15:38:00Z,US,live,1
334,2021-04-28T20:00:00Z,US,live,0
335,2021-04-28T17:03:00Z,US,other,1
336,2021-04-28T16:09:00Z,US,live,0
337,2021-04-28T11:00:00Z,US,live,0
338,2021-04-27T17:54:00Z,US,president speech,0
339,2021-04-27T17:44:00Z,US,live,0
340,2021-04-26T17:02:00Z,US,other,1
341,2021-04-26T15:38:00Z,US,live,1
342,2021-04-26T14:44:00Z,US,live,0
